,game_id,name,role,is_winner
0,0,gemini,Villager,True
1,0,sonnet,Villager,True
2,0,deepseek,Seer,True
3,0,gpt4,Doctor,True
4,0,grok,Werewolf,False
5,1,gemini,Werewolf,False
6,1,grok,Villager,True
7,1,sonnet,Villager,True
8,1,gpt4,Seer,True
9,1,deepseek,Doctor,True
10,2,sonnet,Werewolf,True
11,2,grok,Villager,False
12,2,gemini,Villager,False
13,2,deepseek,Seer,False
14,2,gpt4,Doctor,False
15,3,deepseek,Werewolf,True
16,3,sonnet,Villager,False
17,3,grok,Villager,False
18,3,gemini,Seer,False
19,3,gpt4,Doctor,False
20,4,sonnet,Villager,False
21,4,grok,Villager,False
22,4,deepseek,Seer,False
23,4,gpt4,Doctor,False
24,4,gemini,Werewolf,True
25,5,gemini,Villager,True
26,5,sonnet,Villager,True
27,5,grok,Seer,True
28,5,gpt4,Doctor,True
29,5,deepseek,Werewolf,False
30,6,sonnet,Werewolf,False
31,6,gpt4,Villager,True
32,6,deepseek,Villager,True
33,6,gemini,Seer,True
34,6,grok,Doctor,True
35,7,gemini,Villager,True
36,7,sonnet,Villager,True
37,7,grok,Seer,True
38,7,deepseek,Doctor,True
39,7,gpt4,Werewolf,False
40,8,sonnet,Werewolf,True
41,8,grok,Villager,False
42,8,gemini,Villager,False
43,8,gpt4,Seer,False
44,8,deepseek,Doctor,False
45,9,gemini,Villager,False
46,9,sonnet,Villager,False
47,9,deepseek,Seer,False
48,9,gpt4,Doctor,False
49,9,grok,Werewolf,True
50,10,gpt4,Werewolf,False
51,10,deepseek,Villager,True
52,10,gemini,Villager,True
53,10,grok,Seer,True
54,10,sonnet,Doctor,True
55,11,gemini,Villager,True
56,11,sonnet,Villager,True
57,11,deepseek,Seer,True
58,11,gpt4,Doctor,True
59,11,grok,Werewolf,False
60,12,gemini,Villager,False
61,12,sonnet,Villager,False
62,12,grok,Seer,False
63,12,deepseek,Doctor,False
64,12,gpt4,Werewolf,True
65,13,gemini,Werewolf,True
66,13,gpt4,Villager,False
67,13,deepseek,Villager,False
68,13,sonnet,Seer,False
69,13,grok,Doctor,False
70,14,sonnet,Werewolf,False
71,14,grok,Villager,True
72,14,gemini,Villager,True
73,14,gpt4,Seer,True
74,14,deepseek,Doctor,True
75,15,gemini,Villager,False
76,15,sonnet,Villager,False
77,15,deepseek,Seer,False
78,15,gpt4,Doctor,False
79,15,grok,Werewolf,True
80,16,sonnet,Werewolf,False
81,16,gpt4,Villager,True
82,16,deepseek,Villager,True
83,16,gemini,Seer,True
84,16,grok,Doctor,True
85,17,gpt4,Werewolf,True
86,17,deepseek,Villager,False
87,17,sonnet,Villager,False
88,17,grok,Seer,False
89,17,gemini,Doctor,False
90,18,gemini,Villager,True
91,18,sonnet,Villager,True
92,18,grok,Seer,True
93,18,gpt4,Doctor,True
94,18,deepseek,Werewolf,False
95,19,sonnet,Villager,True
96,19,grok,Villager,True
97,19,deepseek,Seer,True
98,19,gpt4,Doctor,True
99,19,gemini,Werewolf,False
100,20,grok,Werewolf,False
101,20,gemini,Villager,True
102,20,gpt4,Villager,True
103,20,deepseek,Seer,True
104,20,sonnet,Doctor,True
105,21,deepseek,Werewolf,False
106,21,gemini,Villager,True
107,21,grok,Villager,True
108,21,sonnet,Seer,True
109,21,gpt4,Doctor,True
110,22,gemini,Villager,True
111,22,sonnet,Villager,True
112,22,grok,Seer,True
113,22,gpt4,Doctor,True
114,22,deepseek,Werewolf,False
115,23,gpt4,Werewolf,True
116,23,sonnet,Villager,False
117,23,gemini,Villager,False
118,23,grok,Seer,False
119,23,deepseek,Doctor,False
120,24,grok,Werewolf,False
121,24,sonnet,Villager,True
122,24,gpt4,Villager,True
123,24,deepseek,Seer,True
124,24,gemini,Doctor,True
125,25,gpt4,Werewolf,True
126,25,gemini,Villager,False
127,25,grok,Villager,False
128,25,sonnet,Seer,False
129,25,deepseek,Doctor,False
130,26,gemini,Werewolf,True
131,26,sonnet,Villager,False
132,26,deepseek,Villager,False
133,26,gpt4,Seer,False
134,26,grok,Doctor,False
135,27,gpt4,Werewolf,True
136,27,gemini,Villager,False
137,27,deepseek,Villager,False
138,27,grok,Seer,False
139,27,sonnet,Doctor,False
140,28,grok,Werewolf,True
141,28,sonnet,Villager,False
142,28,gpt4,Villager,False
143,28,gemini,Seer,False
144,28,deepseek,Doctor,False
145,29,sonnet,Werewolf,False
146,29,gpt4,Villager,True
147,29,deepseek,Villager,True
148,29,grok,Seer,True
149,29,gemini,Doctor,True
150,30,gemini,Werewolf,False
151,30,sonnet,Villager,True
152,30,deepseek,Villager,True
153,30,gpt4,Seer,True
154,30,grok,Doctor,True
155,31,deepseek,Werewolf,False
156,31,gpt4,Villager,True
157,31,gemini,Villager,True
158,31,grok,Seer,True
159,31,sonnet,Doctor,True
160,32,gpt4,Werewolf,True
161,32,grok,Villager,False
162,32,sonnet,Villager,False
163,32,deepseek,Seer,False
164,32,gemini,Doctor,False
165,33,gemini,Werewolf,True
166,33,gpt4,Villager,False
167,33,deepseek,Villager,False
168,33,sonnet,Seer,False
169,33,grok,Doctor,False
170,34,deepseek,Werewolf,True
171,34,sonnet,Villager,False
172,34,grok,Villager,False
173,34,gemini,Seer,False
174,34,gpt4,Doctor,False
175,35,sonnet,Werewolf,True
176,35,deepseek,Villager,False
177,35,gemini,Villager,False
178,35,gpt4,Seer,False
179,35,grok,Doctor,False
180,36,deepseek,Werewolf,True
181,36,gemini,Villager,False
182,36,gpt4,Villager,False
183,36,grok,Seer,False
184,36,sonnet,Doctor,False
185,37,gemini,Werewolf,False
186,37,gpt4,Villager,True
187,37,grok,Villager,True
188,37,sonnet,Seer,True
189,37,deepseek,Doctor,True
190,38,sonnet,Werewolf,False
191,38,grok,Villager,True
192,38,gemini,Villager,True
193,38,gpt4,Seer,True
194,38,deepseek,Doctor,True
195,39,grok,Werewolf,True
196,39,deepseek,Villager,False
197,39,gemini,Villager,False
198,39,gpt4,Seer,False
199,39,sonnet,Doctor,False
