game_id,name,role,is_winner
0,gpt4,Werewolf,False
0,gemini,Villager,True
0,grok,Villager,True
0,deepseek,Seer,True
0,human,Doctor,True
1,gemini,Werewolf,False
1,human,Villager,True
1,grok,Villager,True
1,deepseek,Seer,True
1,gpt4,Doctor,True
2,human,Werewolf,True
2,gemini,Villager,False
2,deepseek,Villager,False
2,gpt4,Seer,False
2,grok,Doctor,False
3,human,Werewolf,True
3,grok,Villager,False
3,gpt4,Villager,False
3,deepseek,Seer,False
3,gemini,Doctor,False
4,gpt4,Werewolf,False
4,grok,Villager,True
4,human,Villager,True
4,deepseek,Seer,True
4,gemini,Doctor,True
5,deepseek,Werewolf,False
5,human,Villager,True
5,gemini,Villager,True
5,gpt4,Seer,True
5,grok,Doctor,True
6,deepseek,Werewolf,False
6,gpt4,Villager,True
6,human,Villager,True
6,grok,Seer,True
6,gemini,Doctor,True
7,human,Werewolf,True
7,deepseek,Villager,False
7,grok,Villager,False
7,gpt4,Seer,False
7,gemini,Doctor,False
8,gpt4,Werewolf,False
8,human,Villager,True
8,deepseek,Villager,True
8,gemini,Seer,True
8,grok,Doctor,True
9,gemini,Werewolf,True
9,gpt4,Villager,False
9,human,Villager,False
9,grok,Seer,False
9,deepseek,Doctor,False
